Job Title,Location,Company,Skills,Links,Salary
Python Developer - Team Leader,"Alexandria, Egypt ",Softxpert Incorporation  ,Manager · 6+ Yrs of Exp · IT/Software Development · Angular · Computer Science · Development · Git · Django · Information Technology (IT) · Python · Software Development · Web Development,https://wuzzuf.net/jobs/p/aiprvip9fesg-python-developer-team-leader-softxpert-incorporation-alexandria-egypt,
Senior Python Developer (Minya),"Minya, Egypt ",OdooTec ,Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,https://wuzzuf.net/jobs/p/ndgp8pzpvzyg-senior-python-developer-minya-odootec-minya-egypt,
Python Developer,"Maadi, Cairo, Egypt ",Boca Pro  ,Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · AWS · Computer Science · Django · Engineering · Flask · front-end · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/tlwvmv5vjrvq-python-developer-boca-pro-cairo-egypt,
Data Entry (With Python Automation Experience),"Madina, Saudi Arabia ",Confidential ,Entry Level · 1 - 2 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Python Scripting · Python · Data Entry · Administration · Customer Service · Data · entry,https://wuzzuf.net/jobs/p/bouqsly4isqd-data-entry-with-python-automation-experience-madina-saudi-arabia,
Backend Engineer (Python) - EdTech Startup,"Cairo, Egypt ",Darsel ,Experienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science,https://wuzzuf.net/jobs/p/ivmknt2i3nip-backend-engineer-python---edtech-startup-darsel-cairo-egypt,
Senior Data Analyst,"New Cairo, Cairo, Egypt ",Carina Wear ,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Power BI · Data Analysis · SSIS. · SQL · Python,https://wuzzuf.net/jobs/p/nm09nltut98m-senior-data-analyst-carina-wear-cairo-egypt,
Senior Data Engineer,"Cairo, Egypt ",Omnix International LLC ,Experienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure Datafactory · Azure Data Factory · Azure Synapses · Azure pureview · Computer Science · Data · Data Management · Engineering,https://wuzzuf.net/jobs/p/s0cnp9wzswjk-senior-data-engineer-omnix-international-llc-cairo-egypt,
AI Engineer - Travel Tech,"Mohandessin, Giza, Egypt ",Rahala ,Experienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Computer Science · Data Science · Engineering · Information Technology (IT) · Machine Learning · Python,https://wuzzuf.net/jobs/p/3rtefauicveg-ai-engineer-travel-tech-rahala-giza-egypt,
Renewable Energy Engineer,"Cairo, Egypt ",Storlytics  ,Entry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/ctfjnmfv8tge-renewable-energy-engineer-storlytics-cairo-egypt,
Software Engineer (AI & Data Analytics),"Maadi, Cairo, Egypt ",AlZamel for consultation ,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Cloud · Software Engineering · Software Development · Java · Programming · AWS,https://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-alzamel-for-consultation-cairo-egypt,
Backend Developer (Java),"Cairo, Egypt ",Square Solutions ,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Java · Software Development · Computer Science · Docker · Engineering · Information Technology (IT) · MySQL,https://wuzzuf.net/jobs/p/pnp8bp76irlt-backend-developer-java-square-solutions-cairo-egypt,
Software Engineer,"Smart Village, Giza, Egypt ",Shebak ,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux,https://wuzzuf.net/jobs/p/2d2x9ldoatv1-software-engineer-shebak-giza-egypt,
Odoo Developer,"Damietta, Damietta, Egypt ",Smart Technology Solutions ,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo ERP · Python · Communication · Troubleshooting · Odoo · Programming · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/c6bk8siscdmo-odoo-developer-smart-technology-solutions-damietta-egypt,
Automation Engineer,"Maadi, Cairo, Egypt ",Creative Motion ,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Automation · API · Cloud · Computer Science · Engineering · CRM · Information Technology (IT) · JavaScript · REST,https://wuzzuf.net/jobs/p/jl7wmsnff7pg-automation-engineer-creative-motion-cairo-egypt,
Senior Odoo developer,"Giza, Egypt ",Ejad ,Experienced · 3 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · PostgreSQL · Odoo ERP,https://wuzzuf.net/jobs/p/lizxlvapqlvt-senior-odoo-developer-ejad-giza-egypt,
